Title,Rating,Votes,Genre,Duration
Pushpa: The Rule - Part 2,6.1,58000,"Action Epic, Gangster, One-Person Army Action, Action, Crime, Drama, Thriller",201
Armor,3.6,4500,"Heist, Action, Crime, Drama, Thriller",89
11 Rebels,6.3,660,"Martial Arts, Period Drama, Action, Drama, History, Thriller",0
Solo Leveling: ReAwakening,8.8,14000,"Action Epic, Anime, Dark Fantasy, One-Person Army Action, Supernatural Fantasy, Survival, Action, Adventure, Animation, Fantasy",121
Hellboy: The Crooked Man,4.5,14000,"Body Horror, Folk Horror, Monster Horror, Superhero, Supernatural Horror, Suspense Mystery, Witch Horror, Zombie Horror, Action, Horror",99
The Silent Hour,6.1,8300,"Action, Crime, Thriller",99
Apocalypse Z: The Beginning of the End,6.1,21000,"Zombie Horror, Action, Horror, Sci-Fi, Thriller",0
Kalki 2898 AD,7.0,68000,"Action Epic, Desert Adventure, Dystopian Sci-Fi, Epic, Sci-Fi Epic, Action, Adventure, Drama, Fantasy, Sci-Fi",180
Brothers,5.4,14000,"Dark Comedy, Action, Comedy, Crime",89
Take Cover,5.1,2800,"Conspiracy Thriller, Action, Thriller",90
Trigger Warning,4.6,20000,"One-Person Army Action, Action, Crime, Thriller",106
Rebel Moon - Part Two: The Scargiver,5.3,60000,"Action Epic, Adventure Epic, Epic, Fantasy Epic, Gun Fu, Sci-Fi Epic, Space Sci-Fi, Action, Adventure, Drama",122
Relay,7.4,125,"Action, Thriller",112
Red Right Hand,5.5,6000,"Conspiracy Thriller, Action, Thriller",0
